Designator,Mid X,Mid Y,Layer,Rotation
ADS1,147.08,147.06,Top,180.0
ADS2,81.04,186.88,Top,270.0
ADS3,130.15,186.39,Top,270.0
C1,88.73,157.62,Top,270.0
C2,86.31,157.62,Top,270.0
C3,107.22,144.45,Top,90.0
C4,10.56,152.80,Top,0.0
C5,96.04,134.81,Top,90.0
C6,110.56,144.42,Top,270.0
C7,10.51,146.10,Top,0.0
C8,112.92,144.44,Top,270.0
C9,115.77,144.44,Top,270.0
C10,12.55,180.17,Top,90.0
C11,15.93,180.13,Top,90.0
D1,25.44,140.51,Top,90.0
D2,22.55,140.51,Top,270.0
D3,91.96,134.75,Top,270.0
D4,94.06,134.72,Top,270.0
J1,101.19,123.55,Top,0.0
J2,104.99,182.63,Top,0.0
MINI1,56.35,151.27,Bottom,180.0
PRS,11.85,165.04,Top,180.0
PWR,11.85,158.44,Top,180.0
PZEM-DC1,109.50,130.22,Top,90.0
PZEM-DC2,139.29,145.29,Top,180.0
PZEM-DC3,90.19,145.39,Top,180.0
Q1,87.63,151.89,Top,0.0
Q2,137.80,142.65,Top,270.0
Q3,137.82,137.45,Top,270.0
R1,128.95,139.48,Top,90.0
R2,131.79,139.57,Top,270.0
R3,130.17,145.98,Top,180.0
R4,130.19,149.08,Top,180.0
R5,91.67,130.53,Top,90.0
R6,94.24,130.51,Top,90.0
R7,11.80,161.74,Top,180.0
R8,11.86,168.37,Top,180.0
R9,13.99,175.11,Top,180.0
R10,75.65,183.13,Top,90.0
R11,72.29,183.13,Top,270.0
R12,129.71,184.82,Top,90.0
R13,126.38,184.84,Top,270.0
R14,122.39,184.86,Top,90.0
R15,118.89,184.86,Top,270.0
S1, 8.63,178.80,Top,270.0
S2, 8.63,188.87,Top,270.0
TTL-RS1,45.90,186.75,Top,0.0
TTL-RS2,45.96,171.41,Top,0.0
TTL-RS3,45.88,156.09,Top,0.0
U$1,88.58,122.19,Top,180.0
U1,102.49,136.54,Top,0.0
U2,105.13,152.99,Top,90.0
U3,124.91,164.47,Top,180.0
WNG,11.85,171.74,Top,180.0
X2,21.68,203.15,Top,180.0
X4,54.16,203.15,Top,180.0
X5,100.85,203.14,Top,180.0
X6,88.65,203.16,Top,180.0
X7,76.48,203.15,Top,180.0
X8,59.10,124.45,Top,0.0
X9,61.86,140.18,Top,0.0
X10,29.12,124.45,Top,0.0
ZENER3V1,73.89,187.91,Top,0.0
ZENER3V2,128.02,188.89,Top,0.0
ZENER3V3,120.59,189.08,Top,0.0
